price,brand,model,year,title_status,mileage,color,vin,lot,state,full_model
11900,gmc,door,2017,clean vehicle,28040,silver,  1gks2gkc2hr327918,167692503,california,gmc door
21500,kia,sorento,2020,clean vehicle,11451,blue,  5xypg4a59lg616029,167801828,north carolina,kia sorento
12000,buick,door,2014,clean vehicle,31039,brown,  1g4ps5sk1e4188639,167763299,ohio,buick door
4190,ford,doors,2017,clean vehicle,44174,white,  1fadp5auxhl109013,167656126,texas,ford doors
13000,ford,chassis,2008,clean vehicle,93698,white,  1fdwf37r28eb95687,167754098,tennessee,ford chassis
12710,gmc,door,2017,clean vehicle,26364,silver,  1gks2gkc6hr326335,167692504,california,gmc door
18500,infiniti,q70,2016,clean vehicle,71967,gray,  jn1by1ar7gm271292,167801920,new york,infiniti q70
29800,chevrolet,camaro,1973,clean vehicle,46226,red,  1q87t3n166389,167763370,pennsylvania,chevrolet camaro
5330,ford,mpv,2017,clean vehicle,37792,no_color,  2fmpk3j9xhbb56401,167656127,texas,ford mpv
13000,ford,convertible,2003,clean vehicle,58817,gray,  1fahp60a63y107799,167754173,virginia,ford convertible
11900,gmc,door,2017,clean vehicle,27965,black,  1gks2gkc2hr328793,167692507,california,gmc door
16600,mercedes-benz,vans,2016,clean vehicle,110907,white,  8btpe7dd4ge127040,167802259,new york,mercedes-benz vans
19200,chevrolet,1500,2018,clean vehicle,2430,white,  1gcncneh5jz302471,167763391,tennessee,chevrolet 1500
7320,ford,mpv,2017,clean vehicle,32366,gold,  2fmpk4k96hbb16692,167656128,texas,ford mpv
7000,ford,pk,2003,clean vehicle,176567,white,  1ftnx20p73ed69682,167754187,tennessee,ford pk
12710,gmc,door,2017,clean vehicle,30049,white,  1gks2gkc6hr325461,167692508,california,gmc door
16600,mercedes-benz,vans,2016,clean vehicle,97983,white,  wd4pe7dd1gp253504,167802269,new york,mercedes-benz vans
30500,chevrolet,1500,2018,clean vehicle,30442,red,  3gcukrec4jg204915,167763393,tennessee,chevrolet 1500
6330,ford,mpv,2017,clean vehicle,38123,red,  2fmpk3j85hbb79415,167656129,texas,ford mpv
55000,ford,srw,2017,clean vehicle,15273,black,  1ft7w3bt5hee88155,167754310,pennsylvania,ford srw
12520,gmc,door,2017,clean vehicle,28972,black,  1gks2gkcxhr324555,167692509,california,gmc door
16200,jeep,compass,2019,clean vehicle,30061,red,  3c4njccb3kt676336,167802530,north carolina,jeep compass
19000,chevrolet,malibu,2017,clean vehicle,18414,white,  1g1zh5sx9hf118136,167763675,tennessee,chevrolet malibu
5580,dodge,mpv,2017,clean vehicle,46829,gray,  3c4pddeg7ht595704,167656130,texas,dodge mpv
54000,ford,srw,2017,clean vehicle,26241,black,  1ft7w3bt0hef02785,167754311,pennsylvania,ford srw
12710,gmc,mpv,2017,clean vehicle,39886,red,  1gks2bkc7hr133811,167692513,california,gmc mpv
16000,jeep,compass,2019,clean vehicle,31594,silver,  3c4njccb0kt676343,167802531,north carolina,jeep compass
27000,buick,enclave,2017,clean vehicle,32107,no_color,  5gakrckdxhj113512,167763677,tennessee,buick enclave
7760,ford,mpv,2017,clean vehicle,44794,gray,  2fmpk4j87hbb21750,167656131,texas,ford mpv
19600,chrysler,300,2019,clean vehicle,42648,gray,  2c3ccabgxkh559658,167754404,south carolina,chrysler 300
12920,gmc,mpv,2017,clean vehicle,39165,silver,  1gks2bkc6hr134450,167692514,california,gmc mpv
20000,jeep,cherokee,2019,clean vehicle,38355,charcoal,  1c4pjmbx6kd298806,167802532,north carolina,jeep cherokee
18100,buick,door,2017,clean vehicle,46766,silver,  1g4zp5ss8hu149142,167763681,florida,buick door
23000,chrysler,pacifica,2020,clean vehicle,2473,white,  2c4rc1fg5lr143335,167656205,ohio,chrysler pacifica
18500,chrysler,300,2019,clean vehicle,38586,gray,  2c3ccaeg5kh585628,167754410,south carolina,chrysler 300
13490,gmc,door,2017,clean vehicle,27842,white,  1gks2gkc0hr323625,167692515,california,gmc door
20700,jeep,cherokee,2019,clean vehicle,31156,white,  1c4pjmbx2kd360704,167802533,north carolina,jeep cherokee
17800,chevrolet,door,2017,clean vehicle,52435,black,  1g1fb1rsxh0185712,167763683,florida,chevrolet door
6650,ford,door,2017,clean vehicle,29942,black,  1fmcu0gd8huc93883,167656254,texas,ford door
29100,chrysler,pacifica,2019,clean vehicle,25281,red,  2c4rc1gg3kr730663,167754412,south carolina,chrysler pacifica
12710,gmc,door,2017,clean vehicle,32504,silver,  1gks2gkc6hr327937,167692524,california,gmc door
21100,jeep,cherokee,2019,clean vehicle,28649,silver,  1c4pjmbx6kd298174,167802534,north carolina,jeep cherokee
18600,chevrolet,door,2017,clean vehicle,35200,white,  1g1fb1rsxh0104806,167763684,florida,chevrolet door
4340,ford,door,2017,clean vehicle,25602,silver,  1fmcu0gd7huc86259,167656255,texas,ford door
19300,chrysler,300,2019,clean vehicle,34801,gray,  2c3ccakg4kh594972,167754413,south carolina,chrysler 300
12780,gmc,door,2017,clean vehicle,31009,black,  1gks2gkc7hr321306,167692525,california,gmc door
15800,jeep,compass,2019,clean vehicle,35595,charcoal,  3c4njccb4kt662767,167802541,north carolina,jeep compass
29400,bmw,x3,2017,clean vehicle,23765,black,  5uxwx7c3xh0u44145,167763685,tennessee,bmw x3
4430,ford,door,2017,clean vehicle,31792,black,  1fmcu0gd9huc37922,167656256,texas,ford door
19400,chrysler,300,2019,clean vehicle,33135,gray,  2c3ccakg6kh578112,167754417,south carolina,chrysler 300
12520,gmc,door,2017,clean vehicle,30636,red,  1gks2gkcxhr323969,167692526,california,gmc door
15900,jeep,compass,2019,clean vehicle,34502,red,  3c4njccb7kt660088,167802543,north carolina,jeep compass
26400,buick,door,2017,clean vehicle,25434,white,  5gakvckd2hj308564,167763690,florida,buick door
4140,ford,door,2017,clean vehicle,36732,black,  1fmcu0gd5hud08310,167656257,texas,ford door
18300,chrysler,300,2019,clean vehicle,41792,gray,  2c3ccaeg0kh555632,167754420,south carolina,chrysler 300
12520,gmc,door,2017,clean vehicle,31992,black,  1gks2gkcxhr328718,167692527,california,gmc door
17900,jeep,compass,2019,clean vehicle,32501,red,  3c4njddb7kt682015,167802544,north carolina,jeep compass
18300,chevrolet,camaro,2017,clean vehicle,28395,black,  1g1fb3dx5h0143964,167763691,florida,chevrolet camaro
4640,ford,door,2017,clean vehicle,36139,blue,  1fmcu0g95huc13712,167656258,texas,ford door
24000,ford,door,2016,clean vehicle,84413,black,  1ftfw1ef1gfb13670,167754527,pennsylvania,ford door
13200,gmc,door,2017,clean vehicle,33457,white,  1gks2gkc5hr326410,167692528,california,gmc door
18000,jeep,compass,2019,clean vehicle,29245,gray,  3c4njddb0kt686052,167802545,north carolina,jeep compass
14900,chevrolet,equinox,2017,clean vehicle,12783,silver,  2gnalcek7h1548351,167763692,florida,chevrolet equinox
4140,ford,door,2017,clean vehicle,17617,white,  1fmcu0gd5huc78080,167656259,texas,ford door
11500,ford,door,2016,clean vehicle,36855,black,  1fmcu9gx9gua57286,167754531,pennsylvania,ford door
9110,ford,door,2017,clean vehicle,110316,white,  1ftfw1ef5hkc50264,167656356,texas,ford door
7350,chrysler,door,2015,clean vehicle,88227,black,  1c3cccab7fn613884,167755375,pennsylvania,chrysler door
24500,bmw,door,2017,clean vehicle,17626,gray,  wba4f9c51hg439932,167765094,michigan,bmw door
9300,ford,door,2017,clean vehicle,120353,white,  1ftfw1ef4hkc50286,167656357,texas,ford door
39800,dodge,challenger,2015,clean vehicle,3641,white,  2c3cdzc95fh757310,167755377,pennsylvania,dodge challenger
53500,bmw,m,2017,clean vehicle,29355,blue,  5ymkt6c37h0x20696,167765095,michigan,bmw m
15110,ford,door,2017,clean vehicle,39333,black,  1ft7w2bt7hec41164,167656358,texas,ford door
34000,ford,door,2015,clean vehicle,42930,white,  1ft8w3b61fec52078,167755448,pennsylvania,ford door
26502,chevrolet,colorado,2017,clean vehicle,24993,black,  1gcgtcen4h1158648,167765108,michigan,chevrolet colorado
5990,ford,mpv,2017,clean vehicle,44929,black,  1fm5k7b86hga87008,167656359,texas,ford mpv
13600,ford,focus,2018,clean vehicle,16971,black,  1fadp3m26jl307477,167755490,south carolina,ford focus
23605,cadillac,door,2017,clean vehicle,35598,gray,  1gyknbrsxhz114969,167765109,michigan,cadillac door
10780,ford,mpv,2017,clean vehicle,40455,white,  1fm5k8ht0hga07252,167656360,texas,ford mpv
13800,ford,focus,2018,clean vehicle,23164,white,  1fadp3j2xjl279400,167755491,south carolina,ford focus
25201,cadillac,door,2017,clean vehicle,19011,no_color,  1gyknbrs8hz257399,167765111,michigan,cadillac door
7070,ford,mpv,2017,clean vehicle,45191,white,  1fm5k7d82hgb39148,167656361,texas,ford mpv
8700,ford,focus,2018,clean vehicle,21405,white,  1fadp3k23jl219764,167755494,south carolina,ford focus
18003,chevrolet,malibu,2017,clean vehicle,19117,no_color,  1g1zh5sx7hf141060,167765112,michigan,chevrolet malibu
8530,ford,door,2017,clean vehicle,42104,black,  1fm5k7f80hga03159,167656362,texas,ford door
23100,dodge,durango,2018,clean vehicle,49496,white,  1c4rdjdg2jc329601,167755496,south carolina,dodge durango
24500,cadillac,door,2017,clean vehicle,32418,white,  1gykndrs1hz125239,167765114,michigan,cadillac door
7000,ford,mpv,2017,clean vehicle,29882,white,  1fm5k7d84hgc31359,167656363,texas,ford mpv
17000,ford,escape,2018,clean vehicle,34819,gold,  1fmcu9hd6juc54783,167755501,south carolina,ford escape
34002,chevrolet,1500,2017,clean vehicle,31923,white,  3gcuktej3hg475034,167765115,michigan,chevrolet 1500
6980,ford,mpv,2017,clean vehicle,29168,gray,  1fm5k7d8xhga68751,167656364,texas,ford mpv
25000,dodge,charger,2018,clean vehicle,28307,silver,  2c3cdxjg6jh224431,167755814,michigan,dodge charger
20802,chevrolet,colorado,2017,clean vehicle,33791,turquoise,  1gcgtben3h1180134,167765116,michigan,chevrolet colorado
9200,ford,door,2017,clean vehicle,21770,black,  1ftew1ep8hfa10123,167656365,texas,ford door
26500,chrysler,pacifica,2017,clean vehicle,18375,gray,  2c4rc1eg2hr669530,167755839,michigan,chrysler pacifica
24802,chevrolet,colorado,2017,clean vehicle,14158,gray,  1gcgtcen9h1202076,167765119,michigan,chevrolet colorado
7070,ford,mpv,2017,clean vehicle,30318,black,  1fm5k7d82hgb21314,167656366,texas,ford mpv
28500,ford,door,2017,clean vehicle,48086,red,  1ftew1ep2hkd15978,167755890,south carolina,ford door
47500,cadillac,door,2017,clean vehicle,26562,black,  1gys4ckj7hr359884,167765120,michigan,cadillac door
23500,ford,explorer,2017,clean vehicle,57611,black,  1fm5k8f80hgc67231,167755891,south carolina,ford explorer
23505,chevrolet,colorado,2017,clean vehicle,47357,black,  1gcptce16h1176629,167765121,michigan,chevrolet colorado
10940,ford,door,2017,clean vehicle,84916,white,  1ftew1ef1hke25038,167656368,texas,ford door
32100,ford,f-150,2017,clean vehicle,24521,gray,  1ftfw1eg1hfb38806,167755893,south carolina,ford f-150
53000,chevrolet,3500,2018,clean vehicle,16105,black,  1gc4k1ey0jf149152,167765123,washington,chevrolet 3500
6830,ford,mpv,2017,clean vehicle,35888,gold,  1fm5k7dh9hgb05630,167656369,texas,ford mpv
11900,dodge,caravan,2017,clean vehicle,59537,gray,  2c4rdgcg3hr864989,167755906,south carolina,dodge caravan
26414,chevrolet,1500,2017,clean vehicle,55222,black,  3gcukrec3hg429109,167765140,michigan,chevrolet 1500
4160,dodge,mpv,2018,clean vehicle,32870,gray,  3c4pdcab8jt166940,167656464,florida,dodge mpv
19405,chevrolet,door,2017,clean vehicle,39687,silver,  1gnkvgkd0hj145877,167765141,michigan,chevrolet door
5690,dodge,mpv,2018,clean vehicle,47085,silver,  2c4rdgeg8jr337145,167656466,florida,dodge mpv
25900,chrysler,van,2017,clean vehicle,32224,silver,  2c4rc1gg4hr635019,167756044,south carolina,chrysler van
24005,chevrolet,1500,2017,clean vehicle,51293,beige,  1gcukrecxhf153500,167765146,michigan,chevrolet 1500
5090,dodge,mpv,2018,clean vehicle,42989,gray,  2c4rdgcg2jr218218,167656467,florida,dodge mpv
19500,chrysler,300,2017,clean vehicle,31311,gray,  2c3ccabg5hh538726,167756093,arizona,chrysler 300
32012,chevrolet,1500,2017,clean vehicle,46091,white,  3gcuksej6hg353147,167765148,michigan,chevrolet 1500
6800,dodge,dart,2016,clean vehicle,49033,black,  1c3cdffh0gd823262,167756148,michigan,dodge dart
4260,dodge,mpv,2018,clean vehicle,33957,gray,  3c4pdcabxjt311007,167656471,florida,dodge mpv
0,dodge,van,2008,salvage insurance,177948,orange,  2d8hn44h88r669549,167756157,utah,dodge van
31802,chevrolet,2500,2017,clean vehicle,19845,silver,  1gc1kveg3hf189737,167765152,michigan,chevrolet 2500
7210,dodge,doors,2018,clean vehicle,38910,black,  2c3cdxct1jh233225,167656472,florida,dodge doors
0,dodge,door,2014,salvage insurance,123660,silver,  1c3cdzab0en111068,167756167,utah,dodge door
28402,chevrolet,1500,2017,clean vehicle,31234,black,  3gcukrec4hg196549,167765157,michigan,chevrolet 1500
6800,dodge,doors,2018,clean vehicle,36767,gray,  2c3cdxhgxjh125388,167656473,florida,dodge doors
33300,cadillac,esv,2015,clean vehicle,57932,gray,  1gys4tkj0fr538846,167765183,washington,cadillac esv
10780,dodge,mpv,2018,clean vehicle,19420,white,  1c4sdjct1jc174166,167656474,florida,dodge mpv
6700,ford,cutaway,2014,clean vehicle,204155,beige,  1fdfe4fs7eda23699,167756194,pennsylvania,ford cutaway
20000,chevrolet,1500,2016,clean vehicle,93493,white,  3gcuknec9gg342967,167765203,washington,chevrolet 1500
6440,chrysler,doors,2018,clean vehicle,20942,gray,  2c3ccakg8jh168457,167656475,florida,chrysler doors
19900,ford,door,2016,clean vehicle,86826,gray,  1fm5k8f8xggc51519,167756205,south carolina,ford door
37000,chevrolet,door,2015,clean vehicle,45787,white,  1gc1kwegxff145382,167765217,washington,chevrolet door
4040,dodge,mpv,2018,clean vehicle,50765,red,  3c4pdcab6jt273002,167656476,florida,dodge mpv
22300,ford,explorer,2016,clean vehicle,62774,black,  1fm5k8fh9ggc37790,167756208,south carolina,ford explorer
31200,chevrolet,door,2011,clean vehicle,76326,gray,  1gc1kxc86bf208814,167765320,washington,chevrolet door
4290,dodge,mpv,2018,clean vehicle,39029,white,  3c4pdcab0jt474412,167656477,florida,dodge mpv
22800,ford,el,2016,clean vehicle,72885,silver,  1fmjk1ht3gef52975,167756210,south carolina,ford el
19002,cadillac,door,2016,clean vehicle,46467,white,  1g6ah1rx1g0193887,167765761,michigan,cadillac door
4160,dodge,mpv,2018,clean vehicle,6743,gray,  3c4pdcab8jt384019,167656478,florida,dodge mpv
18500,ford,edge,2016,clean vehicle,33514,white,  2fmpk3j98gbb59781,167756214,south carolina,ford edge
39000,bmw,series,2016,clean vehicle,39917,blue,  wba7f2c57gg421020,167765766,michigan,bmw series
6060,dodge,doors,2018,clean vehicle,32504,black,  3c4pddgg1jt523058,167656479,florida,dodge doors
28800,ford,door,2016,clean vehicle,77638,white,  1ftew1ep1gfc64335,167756219,south carolina,ford door
40000,bmw,series,2016,clean vehicle,31727,gray,  wba7f2c55gg415264,167765767,michigan,bmw series
6140,dodge,doors,2018,clean vehicle,52966,silver,  2c3cdxbg0jh187083,167656480,florida,dodge doors
21000,ford,flex,2016,clean vehicle,24157,gray,  2fmhk6c89gba05297,167756222,south carolina,ford flex
20105,buick,door,2016,clean vehicle,51393,beige,  5gakvbkd8gj196085,167765770,michigan,buick door
6760,dodge,doors,2018,clean vehicle,35461,white,  2c3cdzag7jh321665,167656483,florida,dodge doors
25800,ford,door,2014,clean vehicle,47055,brown,  1ft7x2b62eea29551,167756277,pennsylvania,ford door
39000,bmw,series,2016,clean vehicle,33110,black,  wba7f2c57gg419607,167765776,michigan,bmw series
5470,dodge,mpv,2018,clean vehicle,39721,black,  3c4pdcgg9jt216280,167656495,florida,dodge mpv
14600,ford,door,2014,clean vehicle,75785,black,  1fm5k8f81egb23411,167756284,pennsylvania,ford door
24502,chevrolet,1500,2016,clean vehicle,33624,black,  3gcuknec6gg150809,167765812,michigan,chevrolet 1500
15110,ford,door,2017,clean vehicle,42289,white,  1ft7w2bt7hec67263,167656516,texas,ford door
7900,ford,door,2014,clean vehicle,79422,white,  1fmcu0g9xeud52262,167756290,new york,ford door
27305,chevrolet,door,2016,clean vehicle,28844,blue,  3gcukrec5gg383569,167765813,michigan,chevrolet door
15290,ford,door,2017,clean vehicle,66582,white,  1ft7w2bt0hef21363,167656517,texas,ford door
26500,ford,door,2015,clean vehicle,61436,silver,  1ftew1cf3fke12825,167756321,south carolina,ford door
25502,chevrolet,door,2016,clean vehicle,58303,silver,  3gcukrec0gg380000,167765816,michigan,chevrolet door
7320,ford,mpv,2017,clean vehicle,55618,white,  1fmzk1cmxhkb51025,167656518,texas,ford mpv
3800,chevrolet,van,2009,clean vehicle,261648,white,  1gbhg396191112177,167756420,michigan,chevrolet van
24502,chevrolet,door,2016,clean vehicle,33045,white,  3gcukrec4gg223800,167765817,michigan,chevrolet door
4140,ford,door,2017,clean vehicle,40747,white,  3fa6p0h73hr358945,167656519,texas,ford door
1400,dodge,pk,2002,clean vehicle,185460,black,  1b7hg38n62s587845,167756423,michigan,dodge pk
18402,cadillac,srx,2016,clean vehicle,26667,gray,  3gyfnae36gs538333,167765819,michigan,cadillac srx
4160,ford,door,2017,clean vehicle,37176,white,  3fa6p0hd3hr199785,167656520,texas,ford door
175,chrysler,door,2000,salvage insurance,231240,red,  2c3hd46r3yh208325,167756464,north carolina,chrysler door
24503,chevrolet,colorado,2016,clean vehicle,18006,brown,  1gchtde32g1339478,167765821,michigan,chevrolet colorado
15840,ford,door,2017,clean vehicle,72445,white,  1ft7w2bt8hec67434,167656521,texas,ford door
20500,ford,door,2014,clean vehicle,123355,black,  1ftfw1et9efb99877,167756547,south carolina,ford door
21003,chevrolet,1500,2016,clean vehicle,44116,silver,  1gcvknec1gz396932,167765826,michigan,chevrolet 1500
4200,ford,door,2017,clean vehicle,60219,red,  3fa6p0hd7hr273550,167656522,texas,ford door
17400,ford,door,2011,clean vehicle,135077,red,  1ftfw1ef1bfa03548,167756635,georgia,ford door
32001,chevrolet,door,2016,clean vehicle,32058,black,  3gcuktec5gg350066,167765832,michigan,chevrolet door
0,ford,mpv,2017,clean vehicle,76858,white,  1fbax2cv0hkb32599,167656523,texas,ford mpv
15700,ford,cab,2011,clean vehicle,309564,white,  1fduf5gt8bea80212,167756640,south carolina,ford cab
31009,chevrolet,door,2016,clean vehicle,33928,white,  3gcuksec3gg369662,167765835,michigan,chevrolet door
3740,ford,wagon,2017,clean vehicle,90618,white,  nm0ls7e76h1312963,167656524,texas,ford wagon
5000,dodge,pickup,2001,clean vehicle,109360,white,  1b7hc16x01s213315,167756836,georgia,dodge pickup
31002,chevrolet,door,2016,clean vehicle,71809,white,  1gc1kve82gf207345,167765840,michigan,chevrolet door
3160,ford,doors,2017,clean vehicle,31563,gray,  1fadp3e24hl348263,167656526,texas,ford doors
8600,dodge,pickup,2005,clean vehicle,219823,gray,  3d7ks28c15g771945,167756840,south carolina,dodge pickup
6000,chevrolet,malibu,2018,clean vehicle,42090,gray,  1g1zb5st8jf226848,167765944,texas,chevrolet malibu
12990,ford,door,2017,clean vehicle,126523,white,  1ft7w2b60hec03964,167656527,texas,ford door
25,chevrolet,vehicl,2020,salvage insurance,7232,black,  2gnaxkev6l6128374,167756877,kentucky,chevrolet vehicl
13200,buick,encore,2017,clean vehicle,60171,black,  kl4cjcsb1hb024411,167765959,texas,buick encore
4410,ford,wagon,2017,clean vehicle,209915,white,  nm0ls7e79h1312701,167656528,texas,ford wagon
25,chrysler,door,2005,salvage insurance,151815,silver,  2c3ja43r35h179032,167757193,massachusetts,chrysler door
22500,chevrolet,camaro,2020,clean vehicle,13826,green,  1g1fb1rx6l0109117,167765992,georgia,chevrolet camaro
7420,ford,mpv,2017,clean vehicle,55854,white,  1fmzk1cm1hkb51026,167656529,texas,ford mpv
13500,ford,door,2016,clean vehicle,45757,silver,  1fatp8uhxg5296168,167757353,arizona,ford door
15500,chevrolet,trax,2020,clean vehicle,16545,white,  3gncjlsb1ll142267,167765995,georgia,chevrolet trax
3540,ford,door,2017,clean vehicle,112893,white,  3fa6p0g73hr140652,167656530,texas,ford door
17000,ford,door,2016,clean vehicle,126802,no_color,  1ft7w2b60geb96643,167757879,florida,ford door
45500,chevrolet,tahoe,2020,clean vehicle,13303,white,  1gnscbkc4lr164829,167765997,georgia,chevrolet tahoe
4130,ford,door,2017,clean vehicle,34061,silver,  3fa6p0hd8hr305132,167656531,texas,ford door
15700,ford,door,2015,clean vehicle,70251,white,  1ftew1cg0ffa89853,167757917,arizona,ford door
45500,chevrolet,tahoe,2020,clean vehicle,13679,gray,  1gnscbkcxlr162857,167765999,georgia,chevrolet tahoe
4130,ford,doors,2017,clean vehicle,42426,gray,  3fa6p0lu4hr246569,167656532,texas,ford doors
15500,dodge,door,2012,clean vehicle,66452,black,  1c6rd7lt4cs187334,167757926,pennsylvania,dodge door
16300,chevrolet,trax,2020,clean vehicle,18221,white,  3gncjlsb4ll149763,167766003,georgia,chevrolet trax
4530,ford,mpv,2017,clean vehicle,41455,white,  1fmzk1cm7hkb51015,167656533,texas,ford mpv
15600,dodge,door,2011,clean vehicle,35275,black,  1d7rw3gp7bs614101,167758116,pennsylvania,dodge door
45500,chevrolet,tahoe,2020,clean vehicle,13885,white,  1gnscbkc6lr159535,167766009,georgia,chevrolet tahoe
4100,ford,door,2017,clean vehicle,38815,gray,  3fa6p0hd2hr178393,167656535,texas,ford door
18200,dodge,door,2011,clean vehicle,162281,white,  3d73y4clxbg535425,167758122,pennsylvania,dodge door
10200,chevrolet,door,2013,clean vehicle,56479,black,  2g1fc3d32d9188287,167766025,texas,chevrolet door
4080,ford,doors,2017,clean vehicle,61027,black,  3fa6p0luxhr231039,167656536,texas,ford doors
5700,ford,van,2014,clean vehicle,178703,white,  1ftss3el7eda50076,167758159,florida,ford van
10200,chevrolet,3500,2014,clean vehicle,173469,white,  1gc3czcg1ef176545,167766029,texas,chevrolet 3500
5000,ford,door,2017,clean vehicle,37321,white,  3fa6p0k93hr257687,167656538,texas,ford door
1700,ford,door,2014,clean vehicle,112789,white,  1fadp3f20el320177,167758222,florida,ford door
6200,bmw,door,2011,clean vehicle,80394,gray,  wbaph7g58bnn05983,167766036,texas,bmw door
3650,ford,door,2016,clean vehicle,68142,white,  1fmcu0f78gub36672,167656726,texas,ford door
10500,dodge,door,2014,clean vehicle,74203,white,  2c3cdxct3eh230364,167758265,arizona,dodge door
43500,chevrolet,2500,2018,clean vehicle,57604,white,  1gc1kwey3jf123662,167766138,georgia,chevrolet 2500
4610,dodge,van,2016,clean vehicle,87229,silver,  2c4rdgbg2gr345223,167656729,texas,dodge van
3450,ford,door,2012,clean vehicle,90711,white,  3fahp0ha5cr389742,167758419,florida,ford door
38500,chevrolet,suburban,2018,clean vehicle,11135,silver,  1gnschkc6jr269601,167766143,georgia,chevrolet suburban
6810,ford,mpv,2016,clean vehicle,66781,silver,  2fmpk3k95gbb76939,167656730,texas,ford mpv
2900,ford,cargo,2011,clean vehicle,190994,white,  1ftne2ew6bda76057,167758509,florida,ford cargo
43500,chevrolet,2500,2018,clean vehicle,56007,white,  1gc1kwey6jf259008,167766144,georgia,chevrolet 2500
4450,ford,mpv,2016,clean vehicle,32486,white,  2fmpk3g96gbc42228,167656731,texas,ford mpv
5800,ford,door,2011,clean vehicle,195908,white,  1ftew1cm0bfc14625,167758515,florida,ford door
16500,chevrolet,equinox,2018,clean vehicle,18020,silver,  2gnaxjev9j6276848,167766146,georgia,chevrolet equinox
4240,dodge,mpv,2016,clean vehicle,83262,white,  3c4pdcbb9gt181387,167656732,texas,dodge mpv
26500,ford,pickup,2008,clean vehicle,62015,white,  1ftxw43r18eb10682,167758527,pennsylvania,ford pickup
13700,chevrolet,equinox,2017,clean vehicle,36421,silver,  2gnalcek6h6289807,167766173,georgia,chevrolet equinox
8600,ford,door,2016,clean vehicle,73321,white,  1ftew1cf8gkd34592,167656733,texas,ford door
8000,ford,chassis,2008,clean vehicle,132379,white,  1fdxf46r08ea18180,167758623,florida,ford chassis
14200,chevrolet,equinox,2017,clean vehicle,28013,silver,  2gnalcek6h6288804,167766178,georgia,chevrolet equinox
7040,ford,mpv,2016,clean vehicle,33291,silver,  2fmpk3k80gbc65759,167656736,texas,ford mpv
4700,ford,chassis,2005,clean vehicle,225236,no_color,  1fdxf46p35ea79064,167758702,florida,ford chassis
30851,chevrolet,door,2016,clean vehicle,43176,red,  3gcuksec6gg284475,167766204,georgia,chevrolet door
4880,ford,mpv,2016,clean vehicle,36876,silver,  2fmpk4g97gbc51848,167656738,texas,ford mpv
14500,dodge,pickup,2006,clean vehicle,111782,silver,  1d7ks28c96j246101,167758709,pennsylvania,dodge pickup
7600,chevrolet,door,2017,clean vehicle,110489,brown,  1g1ze5st0hf155999,167766640,nebraska,chevrolet door
